industry,job title,python,sql,tensor,keras,pytorch,spark,hadoop,aws,tableau,big_data,bi,flink,scikit,mongo,google_an,avg_salary
-1,Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.0
-1,Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.0
-1,Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.0
-1,Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.0
-1,Data Scientist,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,161.0
-1,"Sr. Research Associate/ Scientist, NGS prep & Molecular Genomics",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.0
-1,Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.0
-1,Data Analyst I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.0
-1,ELISA RESEARCH SCIENTIST (CV-15),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.0
-1,Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.0
-1,Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.0
-1,Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.0
-1,Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.0
-1,"Senior Scientist, Cell Pharmacology/Assay Development",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.0
-1,"Senior Scientist, Cell Pharmacology/Assay Development",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.0
-1,"Principal Research Scientist/Team Lead, Medicinal Chemistry - Oncology",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.5
-1,Data Engineer,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,98.5
-1,Data Scientist,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,136.0
-1,Data Scientist,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,185.0
-1,"Scientist / Group Lead, Cancer Biology",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271.0
-1,Data Scientist,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,271.0
-1,Data Scientist,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,106.0
-1,Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.0
-1,Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.0
-1,Data Scientist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.0
-1,"Scientist / Group Lead, Cancer Biology",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.0
-1,"Scientist – Cancer Discovery, Molecular Assay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117.5
-1,"Research Scientist, Immunology - Cancer Biology",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.0
-1,"Research Scientist, Immunology - Cancer Biology",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.0
-1,"Research Scientist, Immunology - Cancer Biology",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.0
-1,Data Scientist,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,110.5
-1,Data Engineer,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,133.0
-1,Machine Learning Engineer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133.0
-1,Data Scientist,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,136.0
-1,Data Scientist,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.0
-1,Data Scientist,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,134.0
-1,Data Scientist,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,134.0
-1,Data Scientist,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.0
-1,Data Scientist,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.0
-1,Data Scientist,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,185.0
-1,Data Scientist,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271.0
-1,Data Scientist,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.0
-1,Data Scientist,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.0
-1,Data Scientist,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,92.0
